"type","time"
"b",0.102274380259644
"b",22.1781342168501
"c",9.51810545888242
"a",4.03137413763857
"b",24.0751295963232
"c",9.16363147632946
"b",9.27780629660855
"b",0.630928044511097
"a",7.691103266132
"b",1.51302816307931
"a",1.94831372605333
"a",1.66271634865552
"a",4.04583481285434
"b",47.1459568712052
"c",6.25453518237919
"b",12.2019501917793
"a",2.23793117096648
"b",5.41104425489902
"b",9.27080062743197
"b",22.8182404903121
"b",4.49915600940585
"c",12.7898024577172
"a",1.50119963176551
"b",1.75361148640513
"a",2.22019670495801
"a",9.20312953296246
"c",28.1501742435579
"c",9.12819010163558
"a",1.44865934969857
"a",4.04012912476081
"b",8.19083989377985
"c",0.488580070463351
"b",1.32179956504184
"c",0.0895050791895638
"b",7.63699969615708
"c",1.27031174954027
"a",14.2782967156711
"c",1.15269895642996
"a",5.41295081356025
"b",2.90253330767155
"a",9.72817490766657
"b",6.67247486080895
"b",5.42777353525162
"c",2.43929414071329
"c",25.7645717064354
"b",6.93636435236702
"b",7.4222588088728
"b",14.7766692482664
"b",4.67155756056309
"b",17.0071190734556
"a",2.03270828817040
"a",0.280791274271905
"b",0.159237027168274
"a",0.0508183635612425
"a",5.21111206789742
"a",5.97235322908914
"a",1.67807724792510
"a",1.27007661620155
"c",1.18094496894628
"b",0.392397236078978
"a",1.11832424850098
"a",4.55405835041261
"b",4.9027431383729
"c",1.37428543530405
"a",0.83823246272772
"b",1.76272986456752
"a",14.6237366265597
"c",13.6333188130976
"b",6.06045436047792
"c",1.25840789638460
"a",9.9937834573834
"a",4.23012624473727
"a",5.81082001307464
"b",0.98268448188901
"a",0.412441462472501
"a",2.74460417916998
"b",24.4999618376195
"c",1.69140958692878
"a",6.97860189671529
"b",15.1418532424404
"a",6.16760748697383
"c",1.61875334568322
"b",5.63387966914222
"b",12.4276402332738
"b",5.11606089025736
"a",3.90628081725395
"b",9.59381631728182
"a",8.35673374081862
"a",13.6728205246137
"a",8.3809562209518
"c",6.40474565792829
"b",6.6135755518748
"a",0.56661705277597
"b",1.11385190114379
"c",21.8062660468907
"b",3.03249441832304
"c",7.91012004907143
"a",1.72979899216443
"c",5.71747119072825
"a",1.18329256074503
"b",1.40410117059946
"b",12.9414053222721
"b",10.2298491742826
"b",11.2118619673683
"b",8.1422894519187
"a",0.242648270146085
"b",0.456816785594408
"b",16.6562024493864
"b",1.50701838182056
"a",4.5723823874951
"a",4.08010891589704
"b",17.5086855764005
"a",2.29781394824386
"c",1.03840048890561
"a",5.00532882318413
"a",5.05081089646182
"a",4.33258474275349
"a",0.382189713418484
"a",23.5247709775779
"a",6.18779594057655
"c",13.6688471767576
"a",6.73412743546511
"b",7.44954261895189
"c",4.14177905768156
"b",9.7152535539485
"b",0.564966630190611
"b",13.1295723148002
"a",2.86327242463618
"a",4.83828923178321
"a",9.7302301190084
"a",1.29384284140542
"a",7.26956701919548
"b",2.02122072130442
"a",1.87535332283005
"a",11.8052426998721
"c",9.35208599041116
"b",3.82259766759328
"a",1.57805675407872
"a",0.420993584768143
"c",20.4255693583729
"a",5.79040818071712
"b",5.33186222612858
"a",10.2333353083105
"c",16.8141468419673
"b",5.51890233159065
"c",3.5184478526935
"a",6.70524128226048
"a",6.16755784933871
"a",17.3838945766884
"a",3.42591708758846
"c",0.152436760254204
"a",9.82941451440466
"a",11.3164532055375
"b",10.4223680269338
"b",8.97658044811259
"a",1.11511084018275
"a",6.56091232297427
"a",7.20168104353261
"a",7.65512525061977
"a",1.01027096065416
"a",1.51832817122340
"b",15.7136872404053
"a",6.69805543010539
"b",20.2347608049562
"a",2.34423102810979
"b",2.89595385683089
"b",11.0057539191462
"b",7.93153902109633
"c",4.78072837460786
"b",2.38684588298202
"a",3.85451675371683
"a",2.86045348736442
"b",4.74176429212093
"a",14.0975892514245
"a",16.8808463207426
"a",0.166616017886890
"c",6.3469012035057
"a",0.339381173599422
"b",23.1963260160355
"c",32.3236920667772
"a",0.33650389209558
"a",9.44515310185862
"b",1.94904639707822
"b",16.7789721948074
